,0
0,1600679.25
1,526233.875
2,430955.15625
3,410933.5
4,403261.8125
5,399519.53125
6,397287.0625
7,395285.96875
8,394766.8125
9,394139.34375
10,393312.78125
11,392561.8125
12,392120.875
13,391619.65625
14,382168.75
15,369292.4375
16,362687.875
17,360157.90625
18,358874.0625
19,358133.0
20,357541.34375
21,356892.625
22,356721.1875
23,356402.0
24,356142.1875
25,356333.25
26,356083.625
27,355922.875
28,355660.125
29,355343.875
30,355381.375
31,355019.875
32,354503.4375
33,353946.1875
34,353911.25
35,353546.75
36,353285.875
37,353156.03125
38,352775.59375
39,351788.6875
40,346661.625
41,339411.96875
42,334482.53125
43,331577.46875
44,325576.9375
45,312269.53125
46,310418.375
47,309475.375
48,308779.78125
49,307961.78125
50,306553.09375
51,304957.0625
52,303302.1875
53,302245.6875
54,301021.6875
55,300302.25
56,299580.84375
57,299365.78125
58,299099.65625
59,298470.5625
60,298366.4375
61,298172.78125
62,297798.90625
63,297681.0625
64,297691.28125
65,296330.09375
66,295379.0625
67,289991.03125
68,289787.5
69,289639.5
70,289716.84375
71,289611.125
72,289306.8125
73,289299.75
74,286791.78125
75,286528.125
76,284837.28125
77,284068.0
78,279568.6875
79,275532.4375
80,275124.1875
81,274170.9375
82,273986.375
83,273606.125
84,273619.9375
85,269757.09375
86,263353.34375
87,262712.0625
88,262167.9375
89,260968.25
90,260919.5
91,260421.34375
92,260515.375
93,260373.6875
94,260354.5625
95,259977.9375
96,260126.234375
97,260049.828125
98,259612.71875
99,259779.921875
100,259597.1875
101,259548.71875
102,259548.09375
103,259788.609375
104,259287.03125
105,259482.703125
106,259349.75
107,259242.21875
108,259204.0
109,259133.234375
110,259098.09375
111,259169.015625
112,259366.28125
113,259275.140625
114,258973.8125
115,258897.421875
